Subject ID,feature value,Dataset
4242226,0.05317776,train
4379594,0.092330836,train
2127703,0.07866137,train
1090363,0.12971082,train
3684971,0.053115714,train
2153110,-0.09413315,train
3221032,-0.14104517,train
5603877,-0.13836415,train
4054020,-0.14802974,train
3761755,0.0794493,train
1224190,0.048274457,train
2399290,-0.05874373,train
1836665,0.081941456,train
5302094,0.103070736,train
5153923,0.115978606,train
3761025,0.008458529,train
4640921,-0.14123039,train
1352398,-0.14754243,train
3769104,0.123307936,train
1276467,-0.1515587,train
4931969,0.098524146,train
3538684,0.044775236,train
2108687,-0.10558576,train
4421284,-0.10797818,train
5399070,0.084872544,train
2102520,0.034372214,train
5828272,-0.15147091,train
4987766,-0.1512214,train
5004789,0.06186766,train
3045167,0.09310607,train
2128865,0.05937566,train
3681241,0.0628903,train
5584880,-0.15155333,train
2083664,0.033044327,train
5237779,0.10664334,train
1025003,-0.118006065,train
5522482,-0.011116581,train
3735780,-0.07530072,train
3476521,0.13404919,train
5759279,0.039155357,train
1819175,-0.016360413,train
2758126,0.065177836,train
1617998,0.022121133,train
4891150,0.15974803,train
5569464,-0.01187226,train
5092909,-0.085760534,train
4307749,0.10231411,train
1220527,-0.03696661,train
4924054,-0.0095372135,train
2720944,0.13324788,train
2449793,0.10267082,train
4932986,0.020971356,train
2989101,-0.1515587,train
4049232,0.06233405,train
2514624,0.106034316,train
1293916,0.002012431,train
2584765,-0.027813373,train
5439607,0.06848439,train
3869850,0.100754544,train
5062468,-0.054166928,train
3823394,0.13589962,train
3814860,0.04693207,train
3363614,0.103084296,train
1995147,0.025031818,train
2448266,0.04949521,train
5601064,-0.134616,train
5401040,0.010156794,train
1357174,-0.01916372,train
3530421,-0.1381145,train
5806107,-0.11601334,train
4596374,0.092517376,train
4160410,0.054313496,train
5059381,0.12058729,train
2245977,0.07446018,train
4200956,0.09332188,train
3554529,0.14047243,train
4204234,-0.13080582,train
4932667,0.11130319,train
1413108,0.10399153,train
4993945,0.053120993,train
2525324,0.053479914,train
1442830,0.10859407,train
1654461,-0.09904685,train
3898821,-0.09532409,train
5600524,0.0051930877,train
3808908,0.07883943,train
5267610,0.03307534,train
5445056,0.10853293,train
3511409,0.07658584,train
4113428,-0.1515587,train
2885190,0.059254758,train
3750179,0.09423286,train
5569159,0.09640577,train
2104406,-0.06669409,train
1291949,0.10881739,train
1753140,-0.1515587,train
5210198,0.05237085,train
2598633,0.123855606,train
1604328,-0.086294614,train
3475799,0.1434237,train
2068065,0.01772584,train
3061707,0.053928666,train
4516986,-0.1225798,train
4429029,0.08138108,train
1804331,0.037550274,train
2270388,-0.11656768,train
4265305,-0.005754211,train
1981528,0.09214645,train
3510367,0.09423116,train
2663893,-0.054473467,train
2311126,0.036644995,train
